Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Quantity,Price,Discount,Profit
1,CA-2016-122581,21/8/2016,25/8/2016,Standard Class,JK-15370,FUR-CH-10002961,7,573.174,0.3,63.686
2,CA-2017-117485,23/9/2017,29/9/2017,Standard Class,BD-11320,TEC-AC-10004659,4,291.96,0.0,102.186
3,US-2016-157490,6/10/2016,7/10/2016,First Class,LB-16795,OFF-BI-10002824,4,17.0,0.7,-14.92
4,CA-2015-111703,2/7/2015,9/7/2015,Standard Class,KB-16315,OFF-PA-10003349,3,15.552,0.2,5.6376
5,CA-2014-108903,3/10/2014,3/10/2014,Same Day,DO-13435,TEC-AC-10003023,3,142.488,0.2,-3.0
6,CA-2016-117583,27/11/2016,30/11/2016,First Class,CB-12025,OFF-BI-10004233,5,79.95,0.0,38.376
7,CA-2014-148488,10/12/2014,15/12/2014,Standard Class,SM-20005,OFF-PA-10004470,2,11.0,0.0,5.2256
8,CA-2016-136434,1/12/2016,7/12/2016,Standard Class,RD-19480,FUR-FU-10001196,3,17.31,0.0,5.193
9,CA-2014-160094,30/4/2014,2/5/2014,First Class,JM-16195,OFF-ST-10000585,5,826.0,0.0,214.0
10,CA-2017-141747,3/8/2017,8/8/2017,Second Class,SC-20230,OFF-ST-10003996,1,16.06,0.0,4.1756
11,CA-2017-132199,3/5/2017,8/5/2017,Standard Class,BO-11350,OFF-FA-10002280,2,8.0,0.2,2.8
12,CA-2017-107125,27/11/2017,2/12/2017,Standard Class,BD-11320,OFF-BI-10001989,7,117.488,0.2,41.1208
13,CA-2017-153822,19/9/2017,25/9/2017,Standard Class,AB-10105,OFF-BI-10001460,4,18.18,0.7,-13.938
14,CA-2017-150091,12/10/2017,16/10/2017,Standard Class,NP-18670,TEC-AC-10002167,3,45.0,0.0,4.0
15,CA-2016-130407,2/9/2016,6/9/2016,Standard Class,KD-16270,FUR-FU-10001967,2,39.98,0.0,9.995
16,US-2016-105452,28/7/2016,1/8/2016,Standard Class,BF-11005,FUR-FU-10003806,5,302.0,0.6,-378.4
17,US-2014-117058,27/5/2014,30/5/2014,First Class,LE-16810,OFF-BI-10004139,6,17.46,0.8,-30.555
18,CA-2017-122490,13/11/2017,18/11/2017,Standard Class,TT-21070,OFF-ST-10000991,3,344.91,0.0,10.3473
19,US-2016-164945,22/11/2016,27/11/2016,Standard Class,CA-12055,OFF-BI-10001524,8,134.272,0.2,46.9952
20,CA-2014-111934,5/5/2014,7/5/2014,First Class,GD-14590,OFF-BI-10004364,2,11.88,0.0,5.0
21,CA-2015-105627,8/3/2015,12/3/2015,Standard Class,DK-12895,FUR-FU-10000308,6,373.08,0.0,82.0776
22,CA-2014-158274,19/11/2014,24/11/2014,Second Class,RM-19675,TEC-PH-10003273,4,503.96,0.0,131.0296
23,CA-2014-118976,28/4/2014,3/5/2014,Standard Class,MY-18295,OFF-AR-10004752,2,5.34,0.0,1.4952
24,CA-2017-115882,14/9/2017,17/9/2017,First Class,DB-13555,OFF-PA-10001125,3,74.352,0.2,23.235
25,US-2015-126214,21/12/2015,24/12/2015,Second Class,JS-15880,FUR-TA-10003748,13,1618.0,0.0,356.0414
26,CA-2017-147291,11/3/2017,17/3/2017,Standard Class,MJ-17740,OFF-BI-10003091,4,895.92,0.0,421.0824
27,US-2015-138121,17/12/2015,17/12/2015,Same Day,JL-15835,FUR-CH-10004875,2,142.36,0.0,38.4372
28,CA-2015-140025,7/4/2015,11/4/2015,Standard Class,PF-19120,OFF-AP-10002651,8,463.248,0.8,-1181.2823
29,CA-2014-103331,26/8/2014,1/9/2014,Standard Class,KB-16315,OFF-PA-10002659,1,3.38,0.0,1.5548
30,CA-2017-118003,4/12/2017,10/12/2017,Standard Class,DO-13645,FUR-CH-10004860,3,302.94,0.0,18.1764
31,US-2015-129553,27/7/2015,2/8/2015,Standard Class,PG-18820,TEC-PH-10004897,3,29.97,0.0,0.2997
32,US-2017-133361,14/5/2017,17/5/2017,First Class,AJ-10780,OFF-AR-10003045,5,14.0,0.0,6.615
33,CA-2015-123092,3/12/2015,7/12/2015,Standard Class,JG-15115,OFF-BI-10001718,5,95.0,0.7,-73.577
34,CA-2017-126354,3/2/2017,8/2/2017,Standard Class,SC-20380,OFF-PA-10004381,3,115.296,0.2,40.3536
35,CA-2015-109575,18/9/2015,23/9/2015,Standard Class,KH-16630,TEC-PH-10000730,1,499.99,0.0,129.9974
36,CA-2014-111451,26/12/2014,28/12/2014,First Class,KL-16555,OFF-BI-10004593,5,78.6,0.7,-62.88
37,CA-2017-133256,26/6/2017,27/6/2017,First Class,TH-21550,TEC-PH-10002660,8,543.92,0.0,135.98
38,CA-2014-128888,15/11/2014,22/11/2014,Standard Class,PB-19105,OFF-EN-10003001,9,604.656,0.2,204.0714
39,CA-2016-106243,30/9/2016,4/10/2016,Standard Class,GM-14680,FUR-BO-10003034,5,523.92,0.2,-26.196
40,CA-2017-121503,3/7/2017,6/7/2017,Second Class,FH-14275,OFF-PA-10001878,7,273.896,0.2,92.4399
41,CA-2017-156622,23/11/2017,26/11/2017,First Class,JP-15460,OFF-BI-10003707,2,6.104,0.8,-9.156
42,CA-2014-148950,14/12/2014,19/12/2014,Standard Class,JD-16015,OFF-BI-10001249,4,5.104,0.8,-8.6768
43,CA-2014-115812,9/6/2014,14/6/2014,Standard Class,BH-11710,FUR-TA-10001539,9,1706.184,0.2,85.3092
44,US-2014-127978,3/3/2014,8/3/2014,Standard Class,JS-15595,FUR-BO-10001972,5,302.0,0.5,-199.0
45,CA-2016-103919,3/10/2016,7/10/2016,Standard Class,TP-21565,FUR-FU-10001756,5,38.08,0.6,-29.512
46,CA-2016-114972,3/11/2016,6/11/2016,First Class,PF-19225,TEC-AC-10000682,5,82.95,0.0,29.0325
47,CA-2017-152912,9/11/2017,12/11/2017,Second Class,BM-11650,TEC-AC-10004666,3,826.0,0.0,355.0
48,US-2015-105676,1/12/2015,2/12/2015,Same Day,NM-18520,FUR-FU-10004270,4,6.688,0.6,-4.0128
49,CA-2017-135692,27/4/2017,1/5/2017,Standard Class,CV-12805,OFF-LA-10001158,4,33.12,0.2,11.592
50,CA-2016-103037,25/7/2016,29/7/2016,Standard Class,KH-16630,OFF-LA-10004345,4,15.712,0.2,5.6956
51,US-2016-162677,26/3/2016,27/3/2016,First Class,DB-13210,TEC-AC-10001314,3,119.976,0.2,-17.9964
52,CA-2014-133851,9/6/2014,16/6/2014,Standard Class,CM-12445,OFF-AR-10003752,2,23.1,0.0,10.626
53,CA-2017-112536,18/5/2017,23/5/2017,Standard Class,SG-20890,OFF-ST-10004835,2,8.0,0.2,0.6696
54,CA-2016-159373,13/3/2016,18/3/2016,Standard Class,LT-17110,OFF-PA-10000659,5,70.08,0.2,24.528
55,CA-2015-131338,9/8/2015,12/8/2015,First Class,NP-18325,FUR-FU-10001706,2,6.16,0.0,2.9568
56,CA-2017-127306,14/1/2017,18/1/2017,Standard Class,BH-11710,OFF-BI-10003727,2,2.508,0.7,-1.8392
57,US-2014-165589,18/2/2014,18/2/2014,Same Day,TB-21595,FUR-FU-10002396,5,25.16,0.6,-11.322
58,CA-2014-163552,11/7/2014,15/7/2014,Standard Class,LA-16780,FUR-CH-10003379,3,854.0,0.0,213.735
59,US-2017-142573,18/7/2017,23/7/2017,Standard Class,ML-17410,FUR-CH-10000513,3,311.976,0.2,-42.8967
60,CA-2017-126865,5/12/2017,7/12/2017,Second Class,NP-18325,OFF-PA-10003039,3,92.94,0.0,41.823
61,US-2014-122021,15/10/2014,17/10/2014,First Class,AC-10660,OFF-PA-10002230,2,7.968,0.2,2.8884
62,CA-2017-150987,8/4/2017,12/4/2017,Standard Class,AH-10120,OFF-PA-10002923,4,195.76,0.0,97.88
63,CA-2017-113908,3/6/2017,9/6/2017,Standard Class,KN-16390,TEC-MA-10003173,6,78.0,0.0,36.1836
64,CA-2016-154998,7/4/2016,9/4/2016,First Class,ES-14080,OFF-PA-10004243,2,37.94,0.0,18.2112
65,CA-2016-152730,30/5/2016,4/6/2016,Standard Class,EM-14140,OFF-AR-10000940,5,14.7,0.0,3.969
66,CA-2014-156594,20/12/2014,23/12/2014,Second Class,MC-17845,OFF-BI-10003007,5,155.12,0.2,50.414
67,CA-2015-150875,16/11/2015,20/11/2015,Standard Class,HK-14890,FUR-TA-10000577,2,696.0,0.0,160.1766
68,CA-2014-122609,12/11/2014,18/11/2014,Standard Class,DP-13000,FUR-FU-10004587,3,25.128,0.6,-6.9102
69,CA-2016-109869,22/4/2016,29/4/2016,Standard Class,TN-21040,FUR-TA-10001889,6,1272.63,0.5,-814.4832
70,CA-2015-128083,12/3/2015,17/3/2015,Standard Class,EB-13750,FUR-FU-10003194,4,30.0,0.2,3.86
71,CA-2015-158421,21/9/2015,26/9/2015,Standard Class,GB-14575,OFF-PA-10001801,4,23.92,0.0,11.7208
72,CA-2017-141733,7/5/2017,11/5/2017,Standard Class,RW-19540,FUR-CH-10002017,1,26.64,0.0,7.4592
73,CA-2015-168809,25/8/2015,25/8/2015,Same Day,MC-18100,OFF-BI-10000315,1,3.798,0.8,-6.0768
74,CA-2016-106530,8/5/2016,8/5/2016,Same Day,CL-12565,OFF-ST-10000649,2,25.0,0.2,1.57
75,US-2014-160780,21/6/2014,21/6/2014,Same Day,SV-20785,OFF-BI-10002931,2,25.164,0.7,-16.776
76,CA-2017-100524,31/3/2017,2/4/2017,Second Class,CM-12115,OFF-PA-10004911,8,75.04,0.0,36.0192
77,CA-2017-102379,2/12/2017,6/12/2017,Standard Class,BB-11545,TEC-PH-10001448,1,39.992,0.2,-7.9984
78,CA-2015-169740,20/2/2015,25/2/2015,Standard Class,LM-17065,TEC-AC-10000927,1,29.99,0.0,2.999
79,CA-2014-151001,5/4/2014,7/4/2014,First Class,JG-15805,OFF-ST-10003455,4,49.0,0.2,3.7224
80,CA-2015-104948,13/11/2015,17/11/2015,Standard Class,KH-16510,FUR-BO-10004357,4,683.332,0.15,-40.196
81,CA-2016-145982,27/8/2016,1/9/2016,Second Class,TB-21055,OFF-PA-10000675,3,122.97,0.0,60.2553
82,CA-2017-156776,7/8/2017,11/8/2017,Standard Class,JL-15505,FUR-CH-10002317,1,207.0,0.2,25.898
83,CA-2016-140634,3/10/2016,6/10/2016,Second Class,HL-15040,OFF-EN-10001099,2,15.648,0.2,5.0856
84,CA-2017-166933,24/4/2017,28/4/2017,Standard Class,MG-17890,OFF-FA-10002676,1,1.81,0.0,0.6516
85,US-2017-116659,12/11/2017,12/11/2017,Same Day,NG-18355,TEC-PH-10002824,3,370.0,0.4,-92.6955
86,CA-2017-141425,2/11/2017,6/11/2017,Second Class,AR-10825,OFF-SU-10000646,2,384.592,0.2,-81.7258
87,CA-2016-137673,5/9/2016,10/9/2016,Standard Class,ML-17395,TEC-AC-10002345,8,116.0,0.0,29.0
88,CA-2014-153850,24/11/2014,29/11/2014,Standard Class,TH-21100,FUR-FU-10002960,7,35.168,0.2,9.6712
89,CA-2017-160983,29/10/2017,31/10/2017,Second Class,GB-14530,OFF-PA-10002250,8,46.96,0.0,22.5408
90,CA-2015-135020,28/5/2015,2/6/2015,Standard Class,MS-17770,TEC-PH-10004093,1,45.99,0.0,13.3371
91,CA-2016-105585,26/8/2016,27/8/2016,First Class,RF-19735,OFF-PA-10003625,5,154.9,0.0,69.705
